Date,Trading method,Allocation no,Asset,Weight of asset(%)Asset price,Amount to buy ,Total spending,Timeframe
"Dec 30, 2020",One-off,137,cash,0.0,1,0,0,
"Dec 30, 2020",One-off,138,stocks,0.7,203.32,344,69942.08,
"Dec 30, 2020",One-off,138,sbonds,0.15,203.32,73,14842.36,
"Dec 30, 2020",One-off,138,sbonds,0.1,253.84,39,9899.76,
"Dec 30, 2020",One-off,138,gold,0.05,177.7,28,4975.6,
"Dec 30, 2020",One-off,138,cash,0.0,1,0,0,
"Dec 30, 2020",One-off,139,stocks,0.7,203.32,344,69942.08,
"Dec 30, 2020",One-off,139,sbonds,0.15,203.32,73,14842.36,
"Dec 30, 2020",One-off,139,sbonds,0.1,253.84,39,9899.76,
"Dec 30, 2020",One-off,139,gold,0.0,177.7,0,0.0,
"Dec 30, 2020",One-off,139,cash,0.05,1,5000,5000,
"Dec 30, 2020",One-off,140,stocks,0.7,203.32,344,69942.08,
"Dec 30, 2020",One-off,140,sbonds,0.15,203.32,73,14842.36,
"Dec 30, 2020",One-off,140,sbonds,0.05,253.84,19,4822.96,
"Dec 30, 2020",One-off,140,gold,0.1,177.7,56,9951.2,
"Dec 30, 2020",One-off,140,cash,0.0,1,0,0,
"Dec 30, 2020",One-off,141,stocks,0.7,203.32,344,69942.08,
"Dec 30, 2020",One-off,141,sbonds,0.15,203.32,73,14842.36,
"Dec 30, 2020",One-off,141,sbonds,0.05,253.84,19,4822.96,
"Dec 30, 2020",One-off,141,gold,0.05,177.7,28,4975.6,
"Dec 30, 2020",One-off,141,cash,0.05,1,5000,5000,
"Dec 30, 2020",One-off,142,stocks,0.7,203.32,344,69942.08,
"Dec 30, 2020",One-off,142,sbonds,0.15,203.32,73,14842.36,
"Dec 30, 2020",One-off,142,sbonds,0.05,253.84,19,4822.96,
"Dec 30, 2020",One-off,142,gold,0.0,177.7,0,0.0,
"Dec 30, 2020",One-off,142,cash,0.1,1,10000,10000,
"Dec 30, 2020",One-off,143,stocks,0.7,203.32,344,69942.08,
