Date,Trading method,Allocation no,Asset,Weight of asset,Asset price,Amount to buy,Total spending,Investment period
"Jul 01, 2020",One-off,129,cash,0.0,1,0,0,3
"Jul 01, 2020",One-off,130,stocks,0.7,181.47,385,69865.95,3
"Jul 01, 2020",One-off,130,cbonds,0.25,83.04,301,24995.04,3
"Jul 01, 2020",One-off,130,sbonds,0.0,261.9,0,0.0,3
"Jul 01, 2020",One-off,130,gold,0.0,166.62,0,0.0,3
"Jul 01, 2020",One-off,130,cash,0.05,1,5000,5000,3
"Jul 01, 2020",One-off,131,stocks,0.7,181.47,385,69865.95,3
"Jul 01, 2020",One-off,131,cbonds,0.2,83.04,240,19929.6,3
"Jul 01, 2020",One-off,131,sbonds,0.1,261.9,38,9952.2,3
"Jul 01, 2020",One-off,131,gold,0.0,166.62,0,0.0,3
"Jul 01, 2020",One-off,131,cash,0.0,1,0,0,3
"Jul 01, 2020",One-off,132,stocks,0.7,181.47,385,69865.95,3
"Jul 01, 2020",One-off,132,cbonds,0.2,83.04,240,19929.6,3
"Jul 01, 2020",One-off,132,sbonds,0.05,261.9,19,4976.1,3
"Jul 01, 2020",One-off,132,gold,0.05,166.62,30,4998.6,3
"Jul 01, 2020",One-off,132,cash,0.0,1,0,0,3
"Jul 01, 2020",One-off,133,stocks,0.7,181.47,385,69865.95,3
"Jul 01, 2020",One-off,133,cbonds,0.2,83.04,240,19929.6,3
"Jul 01, 2020",One-off,133,sbonds,0.05,261.9,19,4976.1,3
"Jul 01, 2020",One-off,133,gold,0.0,166.62,0,0.0,3
"Jul 01, 2020",One-off,133,cash,0.05,1,5000,5000,3
"Jul 01, 2020",One-off,134,stocks,0.7,181.47,385,69865.95,3
"Jul 01, 2020",One-off,134,cbonds,0.2,83.04,240,19929.6,3
"Jul 01, 2020",One-off,134,sbonds,0.0,261.9,0,0.0,3
"Jul 01, 2020",One-off,134,gold,0.1,166.62,60,9997.2,3
"Jul 01, 2020",One-off,134,cash,0.0,1,0,0,3
"Jul 01, 2020",One-off,135,stocks,0.7,181.47,385,69865.95,3
"Jul 01, 2020",One-off,135,cbonds,0.2,83.04,240,19929.6,3
"Jul 01, 2020",One-off,135,sbonds,0.0,261.9,0,0.0,3
"Jul 01, 2020",One-off,135,gold,0.05,166.62,30,4998.6,3
"Jul 01, 2020",One-off,135,cash,0.05,1,5000,5000,3
"Jul 01, 2020",One-off,136,stocks,0.7,181.47,385,69865.95,3
"Jul 01, 2020",One-off,136,cbonds,0.2,83.04,240,19929.6,3
"Jul 01, 2020",One-off,136,sbonds,0.0,261.9,0,0.0,3
"Jul 01, 2020",One-off,136,gold,0.0,166.62,0,0.0,3
"Jul 01, 2020",One-off,136,cash,0.1,1,10000,10000,3
"Jul 01, 2020",One-off,137,stocks,0.7,181.47,385,69865.95,3
"Jul 01, 2020",One-off,137,cbonds,0.15,83.04,180,14947.2,3
"Jul 01, 2020",One-off,137,sbonds,0.15,261.9,57,14928.3,3
"Jul 01, 2020",One-off,137,gold,0.0,166.62,0,0.0,3
"Jul 01, 2020",One-off,137,cash,0.0,1,0,0,3
"Jul 01, 2020",One-off,138,stocks,0.7,181.47,385,69865.95,3
"Jul 01, 2020",One-off,138,cbonds,0.15,83.04,180,14947.2,3
"Jul 01, 2020",One-off,138,sbonds,0.1,261.9,38,9952.2,3
"Jul 01, 2020",One-off,138,gold,0.05,166.62,30,4998.6,3
"Jul 01, 2020",One-off,138,cash,0.0,1,0,0,3
"Jul 01, 2020",One-off,139,stocks,0.7,181.47,385,69865.95,3
"Jul 01, 2020",One-off,139,cbonds,0.15,83.04,180,14947.2,3
"Jul 01, 2020",One-off,139,sbonds,0.1,261.9,38,9952.2,3
"Jul 01, 2020",One-off,139,gold,0.0,166.62,0,0.0,3
"Jul 01, 2020",One-off,139,cash,0.05,1,5000,5000,3
"Jul 01, 2020",One-off,140,stocks,0.7,181.47,385,69865.95,3
"Jul 01, 2020",One-off,140,cbonds,0.15,83.04,180,14947.2,3
"Jul 01, 2020",One-off,140,sbonds,0.05,261.9,19,4976.1,3
"Jul 01, 2020",One-off,140,gold,0.1,166.62,60,9997.2,3
"Jul 01, 2020",One-off,140,cash,0.0,1,0,0,3
"Jul 01, 2020",One-off,141,stocks,0.7,181.47,385,69865.95,3
"Jul 01, 2020",One-off,141,cbonds,0.15,83.04,180,14947.2,3
"Jul 01, 2020",One-off,141,sbonds,0.05,261.9,19,4976.1,3
"Jul 01, 2020",One-off,141,gold,0.05,166.62,30,4998.6,3
"Jul 01, 2020",One-off,141,cash,0.05,1,5000,5000,3
